Key,Site,eyefullmeanht_eyefullmeanL,eyeballmeanht_eyeballmeanL,eyeballmeanht_eyefullmeanht,meanpupildiam_eyeballmeanht,lipsth_lipsl,meanhairlinetobrow_hairtochin,hairtochin_headtochin,eyefullmeanht_hairtochin,noselength_hairtochin,pupildist_hairtochin,pupildist_widthateyes,meanpupildiam,hairoption,braids,frontlength,hairlineshape,border,headdecoration,headband,earrings,necklace,ears,ebsigdepth,pupilmake,nostrilmake,liplineform,lipform,labraleSuperius,dimple_cleft,nick_markblw,doublechin,eyeform
BM118238_S174,Nimrud,0.56000000000000005,0.5,0.79000000000000004,0.54000000000000004,0.26000000000000001,0.28999999999999998,0.56000000000000005,0.20999999999999999,0.41999999999999998,0.53000000000000003,0.52000000000000002,0.14999999999999999,curls,no,,parted,no,no,yes,no,nonsmock,yes,no,drilled,excised,plain,doubleswell,yes,no,yes,no,double
BM118257_S195a,Nimrud,0.57999999999999996,0.46000000000000002,0.68000000000000005,0.48999999999999999,0.34999999999999998,0.28999999999999998,0.68999999999999995,0.215,0.42999999999999999,0.46999999999999997,,0.125,,,,parted,no,crown,no,,,,no,drilled,excised,plain,doubleswell,no,no,no,no,double
BM116674a_S203a-b,Nimrud,,,,,,,,,,,,,,,,,,crown,no,,,yes,,,,,,,,,,
BM116674b_S203a-b,Nimrud,0.57999999999999996,0.40999999999999998,0.56999999999999995,0.35999999999999999,0.14999999999999999,0.71999999999999997,0.68000000000000005,0.17499999999999999,0.35999999999999999,0.45000000000000001,0.56999999999999995,0.5,,,,parted,no,crown,no,no,,yes,no,drilled,,plain,,no,no,no,no,double
BM126963_S192,Nimrud,0.45000000000000001,0.34000000000000002,0.68999999999999995,0.79000000000000004,0.25,0.17000000000000001,0.64000000000000001,0.20000000000000001,0.40000000000000002,0.55000000000000004,0.58999999999999997,0.22,straight,,,parted,no,crown,no,,,,no,drilled,excised,plain,protrusion,no,yes,no,no,double
BM118237_S193,Nimrud,0.46999999999999997,0.39000000000000001,0.60999999999999999,0.56999999999999995,0.12,0.85499999999999998,0.57999999999999996,0.17499999999999999,,0.41999999999999998,0.45000000000000001,0.105,curls,yes,,parted,no,crown,no,no,nonsmock,yes,no,drilled,,plain,protrusion,no,yes,no,no,double
AO11459_Louvre,ArslanTash,,,,,,,,,,,,,pegwig,no,,curved,no,headcharm,no,yes,,yes,,excised,,barbell,doubleswell,,,,,doubletop
AO11461_Louvre,ArslanTash,,,,,,,,,,,,,pegwig,no,,curved,no,headcharm,no,yes,,yes,no,,,barbell,doubleswell,no,no,no,no,doubletop
A011464_Louvre,ArslanTash,,0.34999999999999998,0.73999999999999999,,0.38,0.14999999999999999,0.60999999999999999,0.155,0.42999999999999999,0.52000000000000002,0.48999999999999999,,pegwig,no,,curved,no,headcharm,no,,no,yes,no,,,barbell,doubleswell,no,no,no,no,doubletop
A011462_Louvre,ArslanTash,0.55000000000000004,0.38,0.69999999999999996,0.44,,0.11,0.72999999999999998,0.22500000000000001,,0.51000000000000001,0.41999999999999998,0.11,,,,curved,no,headcharm,no,,,,no,drilled,drilled,,doubleswell,,no,no,no,doubletop
AO11460_Louvre,ArslanTash,,,,,,0.52500000000000002,,,,,,,pegwig,no,,curved,no,headcharm,no,yes,,yes,,,,barbell,doubleswell,no,no,no,no,
AO11478_Louvre,ArslanTash,,,,,,,,,,,,,pegwig,no,belowshoulder,curved,no,no,no,no,smock,yes,,slash,,,doubleswell,no,no,no,yes,
A011463_Louvre,ArslanTash,0.42999999999999999,,,,,,0.72999999999999998,0.17000000000000001,,0.46999999999999997,0.53000000000000003,0.36499999999999999,pegwig,no,belowshoulder,curved,yes,no,no,no,,yes,,drilled,drilled,,,no,no,no,no,doubletop
